Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City,Price_Category,Area_Category,Price_per_sqm,in_Compound,Immediate_Move
Apartment,600000.0,3.0,3.0,170.0,No,3.0,Unknown,Cash or Installment,0.0,Unknown ,New Cairo - El Tagamoa,Standard,Large,3529.4117647058824,0,1
Apartment,1300000.0,3.0,2.0,140.0,No,0.0,Unknown,Cash,0.0,Semi Finished,New Cairo - El Tagamoa,Standard,Medium,9285.714285714286,0,1
Apartment,560000.0,3.0,2.0,140.0,No,3.0,Unknown,Cash,0.0,Unknown ,Nakheel,Standard,Medium,4000.0,0,1
Apartment,300000.0,3.0,2.0,170.0,No,3.0,Jayd,Cash or Installment,0.0,Unknown ,Rehab City,Budget,Large,1764.7058823529412,1,1
Apartment,5030000.0,3.0,3.0,250.0,No,2.0,Palm Hills New Cairo,Installment,0.0,Unknown ,New Cairo - El Tagamoa,Luxury,Large,20120.0,1,1
Duplex,5690000.0,4.0,3.0,200.0,No,0.0,Trio Gardens,Cash or Installment,24.0,Finished,New Cairo - El Tagamoa,Luxury,Large,28450.0,1,0
Apartment,248000.0,2.0,2.0,128.0,No,2.0,Stone Residence,Installment,0.0,Semi Finished,New Cairo - El Tagamoa,Budget,Medium,1937.5,1,1
Duplex,2500000.0,4.0,3.0,350.0,No,4.0,Dyar,Cash,0.0,Finished,New Cairo - El Tagamoa,Premium,Very Large,7142.857142857143,1,1
Penthouse,4700000.0,4.0,3.0,174.0,No,10.0,Fifth Square,Installment,3.0,Finished,New Cairo - El Tagamoa,Premium,Large,27011.494252873563,1,0
Apartment,3590000.0,3.0,2.0,160.0,Unknown,1.0,Mountain View iCity,Cash or Installment,6.0,Semi Finished,New Cairo - El Tagamoa,Premium,Medium,22437.5,1,0
Apartment,2200000.0,3.0,3.0,220.0,No,2.0,Unknown,Cash or Installment,0.0,Core & Shell,New Cairo - El Tagamoa,Premium,Large,10000.0,0,1
